name,team_abbr,team_name,pos,jersey_number,goals_ref,assists_ref,own_goals_ref,points_ref,epl_in_ref,xg_ref,xa_ref,xpoints_ref,id
Andrey Santos,MUN,Manchester United,MID,17,1,0,0,1,true,2.5551512390375137,0.6883775070309639,2.8993399925529957,sr:player:2284455
Liam Delap,CFC,Chelsea,FWD,9,1,0,0,1,true,5.030099527910352,0.16925495117902756,5.1147270034998655,sr:player:1886706
Jamie Gittens,CFC,Chelsea,FWD,11,0,2,0,1,true,0.8924727980047464,0.978217288851738,1.3815814424306154,sr:player:2265039
Josh Acheampong,CFC,Chelsea,DEF,34,1,0,0,1,true,0.6709242314100266,0.137966588139534,0.7399075254797935,sr:player:2464223
Joe Willock,NEW,Newcastle,MID,28,0,2,0,1,true,1.3859424609690905,2.0978056583553553,2.434845290146768,sr:player:937002
William Saliba,ARS,Arsenal,DEF,2,1,0,0,1,true,1.5777585953474045,1.306027840822935,2.230772515758872,sr:player:1513599
Piero Hincapie,ARS,Arsenal,DEF,5,1,2,1,1,true,0.4126348299905658,2.1274072602391243,1.476338460110128,sr:player:1852832
Max Dowman,ARS,Arsenal,MID,56,1,0,0,1,true,0.6690445654094219,0.6337551325559616,0.9859221316874027,sr:player:2862771
Kenny Tete,FUL,Fulham,DEF,2,1,0,0,1,true,0.728774206712842,0.9490535911172628,1.2033010022714734,sr:player:190877
Harrison Reed,FUL,Fulham,MID,6,1,0,0,1,true,0.08659443259239197,0.4029217101633549,0.2880552876740694,sr:player:365802
Antonee Robinson,FUL,Fulham,DEF,33,1,0,0,1,true,0.977246874012053,1.090028055012226,1.522260901518166,sr:player:867054
Calvin Bassey,FUL,Fulham,DEF,3,1,0,0,1,true,1.1909357141703367,0.4309475254267454,1.4064094768837094,sr:player:1055149
Joe Gomez,LFC,Liverpool,DEF,2,0,2,0,1,true,0.1996985450387001,1.2491662725806236,0.8242816813290119,sr:player:318927
Jeremie Frimpong,LFC,Liverpool,DEF,30,0,2,0,1,true,0.514072947204113,2.69134059548378,1.859743244946003,sr:player:1299404
Jarrad Branthwaite,EVE,Everton,MID,32,1,0,0,1,true,0.3099620118737221,0.37322589941322803,0.4965749615803361,sr:player:1720484
Merlin Rohl,EVE,Everton,MID,34,1,0,0,1,true,0.5586705394089222,0.36098963394761086,0.7391653563827276,sr:player:2102914
Tim Iroegbunam,EVE,Everton,MID,42,0,2,0,1,true,0.5109043149277568,1.847727376036346,1.4347680029459298,sr:player:2161262
Sepp Van den Berg,BRE,Brentford,DEF,4,0,2,0,1,true,3.3328840751200914,2.197148658335209,4.431458404287696,sr:player:1404425
Fabio Carvalho,BRE,Brentford,MID,14,1,0,0,1,true,0.6895682029426098,0,0.6895682029426098,sr:player:2074545
Adam Smith,BOU,Bournemouth,DEF,15,0,2,0,1,true,0,0.4984638234600425,0.24923191173002124,sr:player:44566
Enes Unal,BOU,Bournemouth,FWD,26,1,0,0,1,true,2.326274909079075,0.28412628173828125,2.4683380499482155,sr:player:336655
Alex Jimenez,BOU,Bournemouth,DEF,,1,0,0,1,true,1.210428036749363,1.7028822358697653,2.0618691546842456,sr:player:2269309
Daichi Kamada,CRY,Crystal Palace,MID,18,0,1,0,0.5,true,1.4871895518153906,2.585762256756425,2.780070680193603,sr:player:827253
Dwight McNeil,CRY,Crystal Palace,MID,,0,1,0,0.5,true,1.4632735215127468,1.7390878200531006,2.332817431539297,sr:player:1484502
Chadi Riad,CRY,Crystal Palace,DEF,34,0,1,0,0.5,true,0.27994551230221987,0.42769163846969604,0.4937913315370679,sr:player:2070773
Frank Onyeka,COV,Coventry,MID,16,0,1,0,0.5,false,0,0.3706037104129791,0.18530185520648956,sr:player:959744
Ola Aina,NFO,Nottingham,DEF,34,0,1,0,0.5,true,0.40960373170673847,0.34134200774133205,0.5802747355774045,sr:player:284421
James McAtee,NFO,Nottingham,MID,24,0,1,0,0.5,true,0.19975193310528994,0.8618234768509865,0.6306636715307832,sr:player:2221700
Mateo Kovacic,MCI,Manchester City,MID,8,0,1,0,0.5,true,0.09216287732124329,0.4274698607623577,0.30589780770242214,sr:player:136710
Rico Lewis,MCI,Manchester City,DEF,82,0,1,0,0.5,true,0.13658001273870468,1.5545267909765244,0.9138434082269669,sr:player:2246775
Olivier Boscagli,BRI,Brighton,DEF,21,0,1,0,0.5,true,0.02071521058678627,0.1475827321410179,0.09450657665729523,sr:player:545968
Pascal Struijk,BRI,Brighton,DEF,,0,1,0,0.5,true,2.967387342825532,1.093722109682858,3.514248397666961,sr:player:978125
Destiny Udogie,TOT,Tottenham,DEF,13,0,1,0,0.5,true,0.21846551168709993,1.1220016870647669,0.7794663552194834,sr:player:1722002
Gnonto Wilfried,LEE,Leeds United,FWD,29,0,1,0,0.5,true,0.43765057995915413,1.2471250221133232,1.0612130910158157,sr:player:1949774
Wesley Fofana,CFC,Chelsea,DEF,29,0,1,0,0.5,true,0.5401721596717834,0.658527560532093,0.86943593993783,sr:player:1402953
Robert Sanchez,CFC,Chelsea,GK,1,0,1,0,0.5,true,0,0.8848487213253975,0.44242436066269875,sr:player:1500083
Marc Guiu,CFC,Chelsea,FWD,38,0,1,0,0.5,true,2.5071037635207176,0.7587333768606186,2.886470451951027,sr:player:2463239
Tino Livramento,NEW,Newcastle,DEF,21,0,1,0,0.5,true,0.15228571370244026,0.6162818782031536,0.46042665280401707,sr:player:1643746
